"35","2018-06-04","Moorreesburg","3000781000","5A Graan straat, Moorreesburg, South Africa","allrisk","Church Building (Converted house)",,"500000","47179",,,"CMOORR6401"
"21","2018-06-01","Helderberg",,,"contents","Piano - Church Kawai Grand",,,"320000",,,"CHELDE2601"
"8","2018-05-31","Helderberg","Stellenbosch Farms C01","27 Annandale Rd, Helderberg College, Somerset West, 7130, South Africa","bldg","Main Church Building & Classrooms",,"13000000",,,,"CHELDE2601"
"16","2018-06-01","Helderberg","Stellenbosch Farms C01","27 Annandale Rd, Helderberg College, Somerset West, 7130, South Africa","bldg","Clubhouse",,"800000",,,,"CHELDE2601"
"20","2018-06-01","Helderberg",,,"contents","Piano - 4 x Classroom",,,"128000",,,"CHELDE2601"
"17","2018-06-01","Helderberg",,,"contents","Church Furniture, Fittings & Material",,,"720000",,,"CHELDE2601"
"271","2018-10-08","Helderberg",,"27 Annandale Rd, Helderberg College, Somerset West, 7130, South Africa","contents","Sound - JBL CBT 1000 speaker + mounting bracket",,,"40619",,,"CHELDE2601"
"19","2018-06-01","Helderberg",,,"contents","Organ",,,"280000",,,"CHELDE2601"
"23","2018-06-01","Helderberg",,,"contents","Computer - Church Office",,,"16000",,,"CHELDE2601"
"24","2018-06-01","Helderberg",,,"contents","Computer - Media Library",,,"16000",,,"CHELDE2601"
"270","2018-10-08","Helderberg",,"27 Annandale Rd, Helderberg College, Somerset West, 7130, South Africa","contents","Sound - JBL CBT 1000 speaker + mounting bracket",,,"40619",,,"CHELDE2601"
"27","2018-06-01","Helderberg",,,"contents","Clubhouse Furniture, Fittings & Material",,,"48000",,,"CHELDE2601"
"28","2018-06-01","Helderberg",,,"contents","Piano - Clubhouse",,,"32000",,,"CHELDE2601"
"30","2018-06-01","Helderberg",,,"contents","Projector - Vivitek Dw832 x 2
",,,"48000",,,"CHELDE2601"
"269","2018-10-08","Helderberg",,"27 Annandale Rd, Helderberg College, Somerset West, 7130, South Africa","contents","Sound - Soundcraft SI Impact Sound Desk + MADI card",,,"54059",,,"CHELDE2601"
